id,latitude,longitude,outage,estCustAffected,lastUpdateTime,hazardFlag,region,cause,crewCurrentStatus,outage_url,currentEtor,autoEtor
1571772021:676805,37.51467,-122.51185,676805,1,1571763552,0,Moss Beach,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676805,1571775300,1571775300
1571772021:676684,39.32579,-121.11241,676684,37,1571759071,0,Nevada City,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676684,1571781600,
1571772021:676838,38.85562,-121.15024,676838,1,1571771145,1,Newcastle,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676838,1571775300,1571775300
1571772021:676908,37.81318,-122.21044,676908,1,1571771700,1,Oakland,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676908,1571781600,1571781600
1571772021:676859,37.83449,-122.25176,676859,4,1571767110,0,Oakland,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676859,1571792400,
1571772021:676798,37.81674,-122.28174,676798,76,1571767153,0,Oakland,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676798,1571788800,
1571772021:676697,37.73129,-122.1846,676697,1,1571768223,0,Oakland,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676697,1571779800,
1571772021:676889,37.74199,-122.16044,676889,1,1571770125,1,Oakland,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676889,1571779800,1571779800
1571772021:676725,37.74722,-122.18184,676725,12,1571760904,0,Oakland,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676725,1571778000,
1571772021:676726,37.74684,-122.18259,676726,2,1571760910,0,Oakland,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676726,1571778000,
1571772021:676821,37.81682,-122.27997,676821,10,1571764970,0,Oakland,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676821,1571773500,1571773500
1571772021:676863,41.30275,-123.5316,676863,1,1571768208,1,Orleans,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676863,1571782500,1571782500
1571772021:676771,37.62116,-122.48424,676771,256,1571762718,0,Pacifica,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E is sending a repair crew to the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676771,1571788800,
1571772021:676910,40.3481,-121.75502,676910,1,1571771754,0,Paynes Creek,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676910,1571774400,
1571772021:676906,38.28818,-122.6656,676906,1,1571771551,1,Penngrove,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676906,1571782500,1571782500
1571772021:676741,38.84513,-121.1559,676741,1,1571769308,0,Penryn,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676741,1571780040,
1571772021:676675,38.25939,-122.64403,676675,15,1571761060,0,Petaluma,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676675,1571788800,
1571772021:676762,38.20886,-122.67327,676762,7,1571762253,0,Petaluma,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676762,1571783400,
1571772021:676796,38.67216,-120.64299,676796,1,1571762793,0,Placerville,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676796,1571792400,
1571772021:676795,38.66984,-120.64371,676795,1,1571762793,0,Placerville,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676795,1571792400,
1571772021:676800,38.66942,-120.64369,676800,2,1571762959,0,Placerville,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676800,1571792400,
1571772021:676739,38.69009,-120.73806,676739,4,1571761246,0,Placerville,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676739,1571785200,
1571772021:676857,37.97932,-122.07571,676857,3,1571766779,0,Pleasant Hill,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676857,1571781600,
1571772021:676892,37.67892,-121.88383,676892,1,1571770080,0,Pleasanton,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676892,1571781600,1571781600
1571772021:676814,37.63071,-121.88885,676814,4,1571764530,0,Pleasanton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676814,1571785200,
1571772021:676615,38.88873,-123.55056,676615,9,1571768068,0,Point Arena,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676615,1571792400,
1571772021:676729,38.75174,-120.59939,676729,7,1571768338,0,Pollock Pines,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676729,1571772600,1571772600
1571772021:676748,40.00234,-120.97466,676748,11,1571761629,0,Quincy,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676748,1571774400,
1571772021:676646,40.14249,-122.19849,676646,3,1571757121,0,Red Bluff,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676646,1571785200,
1571772021:676862,37.46942,-122.23256,676862,1,1571768339,1,Redwood City,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676862,1571775300,1571775300
1571772021:676711,37.49498,-122.24361,676711,1,1571768300,1,Redwood City,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676711,1571782500,
1571772021:676704,38.51358,-122.50868,676704,7,1571760444,0,Saint Helena,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676704,1571788800,
1571772021:676779,36.4811,-121.48102,676779,1,1571764083,0,Salinas,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676779,1571771700,1571771700
1571772021:676669,38.34874,-123.06127,676669,104,1571770163,1,Salmon Creek,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is sending a repair crew to the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676669,1571788800,
1571772021:676842,37.73489,-122.50516,676842,2,1571765937,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676842,1571779800,
1571772021:676866,37.7736,-122.48309,676866,62,1571767852,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676866,1571788800,
1571772021:676864,37.77495,-122.48319,676864,27,1571767622,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676864,1571788800,
1571772021:676705,37.75257,-122.47358,676705,37,1571760893,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676705,1571788800,
1571772021:676734,37.75255,-122.47363,676734,65,1571770705,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676734,1571788800,
1571772021:676733,37.77576,-122.43867,676733,40,1571760986,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676733,1571788800,
1571772021:676692,37.76051,-122.38748,676692,16,1571760963,0,San Francisco,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676692,1571787000,
1571772021:676893,37.72688,-122.43384,676893,1,1571770393,1,San Francisco,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676893,1571776200,1571776200
1571772021:676759,37.33923,-121.76646,676759,1,1571761940,0,San Jose,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676759,1571774400,
1571772021:676679,36.89461,-121.57834,676679,112,1571758677,0,San Juan Bautista,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676679,1571779800,
1571772021:676685,36.89487,-121.57897,676685,3,1571770132,0,San Juan Bautista,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E is sending a repair crew to the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676685,1571781600,
1571772021:676837,37.68465,-122.12264,676837,1,1571771759,1,San Lorenzo,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676837,1571797500,
1571772021:676687,37.54357,-122.31947,676687,1,1571766270,1,San Mateo,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is sending a repair crew to the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676687,1571788800,
1571772021:676850,37.95492,-122.34904,676850,1,1571766371,0,San Pablo,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676850,1571776200,1571776200
1571772021:676778,36.69421,-119.55239,676778,1,1571767079,0,Sanger,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676778,1571773500,1571773500
1571772021:676895,36.76523,-119.46875,676895,1,1571770956,0,Sanger,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676895,1571781600,1571781600
1571772021:676609,35.38985,-120.41873,676609,2,1571751454,0,Santa Margarita,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676609,1571778000,
1571772021:676775,38.51249,-122.63554,676775,5,1571762331,0,Santa Rosa,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676775,1571785200,
1571772021:676853,38.44099,-122.73253,676853,1,1571769717,0,Santa Rosa,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676853,1571776200,1571776200
1571772021:676715,38.46078,-122.70851,676715,2,1571761821,0,Santa Rosa,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676715,1571785200,
1571772021:676880,38.45134,-122.6941,676880,1,1571771707,1,Santa Rosa,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676880,1571778900,1571778900
1571772021:676787,38.39282,-122.57701,676787,4,1571762706,0,Santa Rosa,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676787,1571781600,
1571772021:676600,37.28384,-122.03305,676600,9,1571771029,0,Saratoga,Our preliminary determination is that your outage was caused by an equipment issue.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676600,1571788800,
1571772021:676706,38.40972,-122.80013,676706,2,1571760253,0,Sebastopol,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676706,1571778000,
1571772021:676607,40.51185,-122.01654,676607,11,1571756972,0,Shingletown,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676607,1571774400,
1571772021:676780,38.5996,-120.67501,676780,29,1571762594,0,Somerset,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676780,1571781600,
1571772021:676823,37.65284,-122.44736,676823,1,1571764656,0,South San Francisco,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676823,1571774400,1571774400
1571772021:676811,37.92617,-122.67604,676811,2,1571764212,0,Stinson Beach,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676811,1571788800,
1571772021:676642,37.94396,-121.33162,676642,1,1571756886,0,Stockton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676642,1571788800,
1571772021:676625,37.94133,-121.33269,676625,1,1571754730,0,Stockton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676625,1571788800,
1571772021:676845,36.10824,-119.71184,676845,1,1571768540,0,Stratford,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676845,1571777100,1571777100
1571772021:676714,35.57568,-120.71984,676714,2,1571760554,0,Templeton,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676714,1571785200,
1571772021:676758,35.52538,-120.74111,676758,1,1571762098,0,Templeton,Unknown - PG&E will be assessing the cause.,PG&E assessment crew is en route to the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676758,1571774400,1571774400
1571772021:676742,37.67982,-121.27826,676742,2,1571761385,0,Tracy,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676742,1571770800,
1571772021:676619,40.01546,-121.22466,676619,44,1571759936,0,Twain,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676619,1571788800,
1571772021:676886,38.48345,-120.60949,676886,1,1571769769,1,Volcano,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676886,1571782500,1571782500
1571772021:676870,38.2273,-121.45666,676870,1,1571770899,1,Walnut Grove,PG&E is investigating the cause of your outage.,PG&E is assessing the cause at the outage location.,https://pge-outages.simonwillison.net/pge-outages/outage/676870,1571780700,1571780700
1571772021:676707,39.36289,-120.79618,676707,83,1571760352,0,Washington,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676707,1571778000,
1571772021:676702,39.01359,-121.42356,676702,21,1571764860,0,Wheatland,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676702,1571778000,
1571772021:676659,40.98874,-123.63971,676659,2,1571768033,0,Willow Creek,Our preliminary determination is that your outage was caused by scheduled maintenance work.,PG&E repair crew is on-site working to restore power.,https://pge-outages.simonwillison.net/pge-outages/outage/676659,1571785200,
1571772021:676867,38.53749,-122.79063,676867,1,1571768055,0,Windsor,Unknown - PG&E will be assessing the cause.,PG&E has assigned a crew to assess the outage.,https://pge-outages.simonwillison.net/pge-outages/outage/676867,1571778000,1571778000
